,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid
202,GJ 667 C,c,GJ 667 C c,28.14,0.125,0.158,0.012,259.7510609,-34.9977651,,0.02,0.053,10.602,6.322,6.848,6.036,3350.0,,0.33,,,,
203,GJ 674,b,GJ 674 b,4.6938,0.039,0.297,0.035,262.1700476,-46.898982600000004,,0.2,0.007,9.38,5.154,5.711,4.855,3600.0,,0.35,,,,
205,GJ 832,b,GJ 832 b,3657.0,3.56,1.25,0.68,323.39126160000006,-49.0125169,,0.08,104.0,8.66,4.766,5.349,4.501,3472.0,0.44,0.45,,,,
206,GJ 849,b,GJ 849 b,1882.0,2.35,1.23,1.0,332.42299380000003,-4.640831700000001,,0.04,250.0,10.41,5.899,6.51,5.594,3241.0,0.53,0.65,,,,
207,GJ 179,b,GJ 179 b,2288.0,2.41,1.24,0.82,73.0245495,6.475234700000001,,0.21,59.0,11.963,7.209,7.814,6.942,3370.0,0.38,0.36,,,,
208,GJ 581,b,GJ 581 b,5.3686,0.04061,0.366,0.0497,229.8564725,-7.7226935,,0.0,0.0001,10.57,6.095,6.706,5.837,3396.0,0.33,0.31,,,,
209,GJ 581,c,GJ 581 c,12.914,0.0721,0.19699999999999998,0.0173,229.8564725,-7.7226935,,0.0,0.002,10.57,6.095,6.706,5.837,3396.0,0.33,0.31,,,,
210,GJ 581,e,GJ 581 e,3.149,0.02815,0.10400000000000001,0.0053,229.8564725,-7.7226935,,0.0,0.0002,10.57,6.095,6.706,5.837,3396.0,0.33,0.31,,,,
213,GJ 876,c,GJ 876 c,30.0881,0.12959,1.25,0.7142,343.32397369999995,-14.266595800000001,59.0,0.25590999999999997,0.0082,10.16,5.349,5.934,5.01,3271.0,0.3,0.32,,,,
214,GJ 876,d,GJ 876 d,1.93778,0.020807,0.22399999999999998,0.021,343.32397369999995,-14.266595800000001,59.0,0.207,2e-05,10.16,5.349,5.934,5.01,3271.0,0.3,0.32,,,,
215,GJ 876,e,GJ 876 e,124.26,0.3343,0.35,0.046,343.32397369999995,-14.266595800000001,59.0,0.055,0.7,10.16,5.349,5.934,5.01,3271.0,0.3,0.32,,,,
259,HD 10180,c,HD 10180 c,5.75969,0.06412000000000001,0.32799999999999996,0.04122,24.4731133,-60.51148810000001,90.0,0.073,0.00028,7.33,5.934,6.246,5.868,5911.0,1.11,1.06,,,,
260,HD 10180,d,HD 10180 d,16.357,0.12859,0.308,0.036969999999999996,24.4731133,-60.51148810000001,90.0,0.131,0.0038,7.33,5.934,6.246,5.868,5911.0,1.11,1.06,,,,
261,HD 10180,e,HD 10180 e,49.748,0.2699,0.48100000000000004,0.079,24.4731133,-60.51148810000001,90.0,0.051,0.025,7.33,5.934,6.246,5.868,5911.0,1.11,1.06,,,,
262,HD 10180,f,HD 10180 f,122.744,0.4929,0.46799999999999997,0.0752,24.4731133,-60.51148810000001,90.0,0.119,0.232,7.33,5.934,6.246,5.868,5911.0,1.11,1.06,,,,
263,HD 10180,g,HD 10180 g,604.67,1.427,0.43799999999999994,0.0673,24.4731133,-60.51148810000001,90.0,0.263,10.42,7.33,5.934,6.246,5.868,5911.0,1.11,1.06,,,,
264,HD 10180,h,HD 10180 h,2205.0,3.381,0.838,0.203,24.4731133,-60.51148810000001,90.0,0.095,105.9,7.33,5.934,6.246,5.868,5911.0,1.11,1.06,,,,
265,HD 101930,b,HD 101930 b,70.46,0.3,0.9490000000000001,0.25,175.875608,-58.00537979999999,,0.11,0.18,8.21,6.259,6.645,6.147,5108.0,0.86,0.57,,,,
266,HD 102117,b,HD 102117 b,20.8133,0.15,0.7559999999999999,0.17,176.2097267,-58.704013399999994,,0.12,0.0064,7.47,5.949,6.224,5.833,5655.0,1.23,1.06,,,,
267,HD 102195,b,HD 102195 b,4.11377,0.05,1.27,0.41,176.42540630000002,2.8209912,,0.0,0.00056,8.07,6.268,6.629,6.151,5301.0,0.82,0.76,,,,
270,HD 102365,b,HD 102365 b,122.1,0.46,0.369,0.05,176.6208003,-40.4986211,,0.34,0.3,4.89,3.49,3.931,3.489,5630.0,,0.85,,,,
272,HD 103197,b,HD 103197 b,47.84,0.25,0.52,0.09,178.22019709999998,-50.2927911,,0.0,0.03,9.4,7.6,7.916,7.426,5250.0,0.88,0.8,,,,
273,HD 104067,b,HD 104067 b,55.806,0.26,0.7290000000000001,0.16,179.7923543,-20.355605800000003,,0.0,0.049,7.92,5.754,6.212,5.614,4937.0,0.74,0.62,,,,
279,HD 107148,b,HD 107148 b,48.056,0.269,0.856,0.21,184.8059773,-3.3199927000000002,,0.05,0.057,8.01,6.604,6.858,6.474,5797.0,,1.12,,,,
285,HD 109749,b,HD 109749 b,5.239891,0.0615,0.993,0.27,189.3173489,-40.812145799999996,,0.0,9.9e-05,8.08,6.797,7.057,6.678,5824.0,1.22,1.13,,,,
288,HD 113538,b,HD 113538 b,663.2,1.24,1.18,0.36,196.233933,-52.4463502,,0.14,8.4,9.05,5.835,6.438,5.637,4462.0,0.53,0.59,,,,
289,HD 113538,c,HD 113538 c,1818.0,2.44,1.24,0.93,196.233933,-52.4463502,,0.2,25.0,9.05,5.835,6.438,5.637,4462.0,0.53,0.59,,,,
291,HD 114729,b,HD 114729 b,1121.79,2.067,1.24,0.825,198.1833997,-31.8746756,,0.079,3.53,6.68,5.29,5.559,5.136,5844.0,1.47,0.94,,,,
298,HD 117618,b,HD 117618 b,25.8,0.18,0.7659999999999999,0.174,203.1066418,-47.2719049,,0.15,0.004,7.17,5.843,6.098,5.737,5990.0,1.2,1.08,,,,
300,HD 11964,b,HD 11964 b,1945.0,3.16,1.26,0.622,29.2884252,-10.243469300000001,,0.041,26.0,6.41525,4.637,5.023,4.491,5303.0,2.01,0.91,,,,
301,HD 11964,c,HD 11964 c,37.91,0.229,0.48,0.0788,29.2884252,-10.243469300000001,,0.3,0.041,6.41525,4.637,5.023,4.491,5303.0,2.01,0.91,,,,
304,HD 125595,b,HD 125595 b,9.6737,0.08,0.214,0.02,215.3434326,-40.3942443,,0.0,0.0039,9.03,6.608,7.097,6.447,4691.0,0.74,0.29,,,,
306,HD 125612,c,HD 125612 c,4.15514,0.0524,0.389,0.055,215.22271830000003,-17.4818147,,0.049,0.00026,8.31,6.95,7.179,6.838,5841.0,1.05,1.11,,,,
309,HD 126525,b,HD 126525 b,960.41,1.837,0.919,0.237,216.8852514,-51.9329118,,0.035,6.19,7.85,6.287,6.634,6.215,5638.0,0.98,0.9,,,,
310,HD 126614,b,HD 126614 b,1244.0,2.37,1.27,0.41,216.7005171,-5.1784093,,0.41,17.0,8.81,7.16,7.47,7.06,5568.0,1.32,1.26,,,,
323,HD 134060,b,HD 134060 b,3.2696,0.0444,0.282,0.0318,227.68475869999997,-61.4223747,,0.45,0.0001,6.29,5.022,5.214,4.836,5966.0,,1.09,,,,
324,HD 134060,c,HD 134060 c,1291.5646,2.3928,0.527,0.0922,227.68475869999997,-61.4223747,,0.11,48.0333,6.29,5.022,5.214,4.836,5966.0,,1.09,,,,
326,HD 134987,c,HD 134987 c,5000.0,5.8,1.24,0.82,228.36753969999998,-25.3096721,,0.12,400.0,6.47,5.121,5.268,4.882,5585.0,1.25,1.1,,,,
327,HD 136352,b,HD 136352 b,11.5824,0.0934,0.182,0.0151,230.44011469999998,-48.3188174,,0.14,0.0024,5.65,3.898,4.308,4.159,5664.0,,0.81,,,,
328,HD 136352,c,HD 136352 c,27.5821,0.1666,0.293,0.034,230.44011469999998,-48.3188174,,0.04,0.0089,5.65,3.898,4.308,4.159,5664.0,,0.81,,,,
329,HD 136352,d,HD 136352 d,107.5983,0.4128,0.256,0.027,230.44011469999998,-48.3188174,,0.09,0.2796,5.65,3.898,4.308,4.159,5664.0,,0.81,,,,
332,HD 137388,b,HD 137388 b,330.0,0.89,0.8320000000000001,0.2,233.91508199999998,-80.20441690000001,,0.36,3.0,8.71,6.867,7.23,6.763,5181.0,0.88,0.68,,,,
344,HD 1461,b,HD 1461 b,5.77152,0.0634,0.21600000000000003,0.02026,4.676264499999999,-8.053620599999999,,0.172,0.00045,6.47933,5.041,5.329,4.897,5765.0,1.13,1.02,,,,
345,HD 1461,c,HD 1461 c,13.5052,0.1117,0.19899999999999998,0.01759,4.676264499999999,-8.053620599999999,,0.305,0.0029,6.47933,5.041,5.329,4.897,5765.0,,1.02,,,,
363,HD 156411,b,HD 156411 b,842.2,1.88,1.25,0.74,259.9639522,-48.5502313,,0.22,14.5,6.67,5.241,5.563,5.17,5900.0,2.16,1.25,,,,
370,HD 160691,d,HD 160691 d,9.6386,0.09094,0.289,0.03321,266.0361585,-51.8348751,,0.172,0.0015,5.12,3.724,4.158,3.683,5813.0,1.38,1.08,900.0,,,
371,HD 160691,e,HD 160691 e,310.55,0.921,1.27,0.5219,266.0361585,-51.8348751,,0.0666,0.83,5.12,3.724,4.158,3.683,5771.56,1.38,1.08,,,,
372,HD 16141,b,HD 16141 b,75.523,0.36,0.971,0.26,38.8323674,-3.5624887000000003,,0.25,0.055,6.834,5.346,5.679,5.266,5757.0,1.48,1.11,,,,
378,HD 164509,b,HD 164509 b,280.17,0.87,1.28,0.443,270.38008110000004,0.10446849999999999,,0.238,0.82,8.1,6.665,6.938,6.586,5859.0,1.11,1.12,,,,
384,HD 168746,b,HD 168746 b,6.404,0.07,0.993,0.27,275.4573269,-11.9229757,,0.11,0.0014,7.95,6.329,6.679,6.253,5570.0,1.09,1.07,900.0,,,
396,HD 175541,b,HD 175541 b,298.43,0.975,1.26,0.598,283.9203211,4.2649344000000005,,0.11,0.45,8.020000999999999,5.952,6.387,5.829,5013.0,4.19,1.39,,,,
400,HD 179079,b,HD 179079 b,14.479,0.1214,0.488,0.081,287.7903733,-2.6387702999999996,,0.049,0.01,7.95,6.402,6.734,6.311,5646.0,1.63,1.14,,,,
404,HD 181433,b,HD 181433 b,9.3743,0.08,0.214,0.02,291.2873731,-66.46778379999999,,0.4,0.0019,8.4,6.243,6.664,6.094,4918.0,0.79,0.63,,,,
405,HD 181433,c,HD 181433 c,962.0,1.76,1.26,0.64,291.2873731,-66.46778379999999,,0.28,15.0,8.4,6.243,6.664,6.094,4962.0,0.81,0.78,,,,
406,HD 181433,d,HD 181433 d,2172.0,3.0,1.27,0.54,291.2873731,-66.46778379999999,,0.48,158.0,8.4,6.243,6.664,6.094,4962.0,0.81,0.78,,,,
407,HD 181720,b,HD 181720 b,956.0,1.85,1.25,0.4,290.7212224,-32.9208401,,0.26,14.0,7.84,6.346,6.652,6.294,5736.0,1.5,1.03,,,,
421,HD 192263,b,HD 192263 b,24.3556,0.15,1.26,0.56,303.49908639999995,-0.8657574,,0.05,0.0046,7.79,5.685,6.115,5.537,4976.0,0.74,0.66,486.0,,,
422,HD 192310,b,HD 192310 b,74.72,0.32,0.381,0.0532,303.82847119999997,-27.033755600000003,90.0,0.13,0.1,5.73,3.582,4.112,3.501,5166.0,0.73,0.8,355.0,,,
423,HD 192310,c,HD 192310 c,525.8,1.18,0.469,0.076,303.82847119999997,-27.033755600000003,90.0,0.32,9.2,5.73,3.582,4.112,3.501,5166.0,,0.8,185.0,,,
430,HD 20003,b,HD 20003 b,11.8482,0.0974,0.306,0.0367,46.9090081,-72.3219221,,0.36,0.0016,8.39,6.764,7.087,6.647,5494.0,,0.88,,,,
431,HD 20003,c,HD 20003 c,33.9239,0.1964,0.34700000000000003,0.0454,46.9090081,-72.3219221,,0.1,0.0239,8.39,6.764,7.087,6.647,5494.0,,0.88,,,,
438,HD 204313,c,HD 204313 c,34.905,0.2099,0.39,0.0553,322.05105679999997,-21.7274194,,0.155,0.012,7.99,6.539,6.812,6.459,5776.0,,1.02,,,,
439,HD 204941,b,HD 204941 b,1733.0,2.55,0.903,0.23,323.0966714,-20.957957,,0.37,74.0,8.45,6.475,6.895,6.357,5026.0,0.78,0.58,,,,
442,HD 20781,b,HD 20781 b,5.3135,0.0529,0.10800000000000001,0.0061,50.0139757,-28.784117499999997,,0.1,0.001,8.48,6.642,7.045,6.553,5256.0,,0.7,,,,
443,HD 20781,c,HD 20781 c,13.8905,0.1004,0.193,0.0168,50.0139757,-28.784117499999997,,0.09,0.0033,8.48,6.642,7.045,6.553,5256.0,,0.7,,,,
446,HD 20794,b,HD 20794 b,18.315,0.1207,0.129,0.0085,49.9997666,-43.0666533,90.0,0.0,0.008,4.26,2.709,3.032,2.636,5401.0,,0.7,660.0,,,
447,HD 20794,c,HD 20794 c,40.114,0.2036,0.121,0.0076,49.9997666,-43.0666533,90.0,0.0,0.053,4.26,2.709,3.032,2.636,5401.0,,0.7,508.0,,,
448,HD 20794,d,HD 20794 d,90.309,0.3499,0.182,0.015,49.9997666,-43.0666533,90.0,0.0,0.184,4.26,2.709,3.032,2.636,5401.0,,0.7,388.0,,,
449,GJ 9827,c,GJ 9827 c,3.6480957,0.03925,0.111,0.00264,351.7717763,-1.2853435,88.19,0.0,6.33e-05,10.37,7.379,7.984,7.193,4340.0,0.6,0.61,721.9,0.0361,1.82496,2457742.1993
450,GJ 9827,d,GJ 9827 d,6.2014698,0.05591,0.18,0.012709999999999999,351.7717763,-1.2853435,87.443,0.0,6.26e-05,10.37,7.379,7.984,7.193,4340.0,0.6,0.61,604.9,0.0957,1.2228,2457740.96115
457,Ross 128,b,Ross 128 b,9.8658,0.0496,0.099,0.0044,176.9376036,0.7992898,,0.116,0.007,11.12,5.945,6.505,5.654,3192.0,0.2,0.17,301.0,,,
467,K2-18,c,K2-18 c,8.962,0.06,0.23600000000000002,0.02363,172.560141,7.5878315,,0.47,0.008,13.477,9.135,9.763,8.899,3457.0,0.41,0.36,363.0,,,
468,HD 176986,b,HD 176986 b,6.4898,0.06296,0.20199999999999999,0.01806,285.7739138,-11.044941,,0.066,0.00086,8.42,6.34,6.797,6.22,4931.0,0.78,0.79,,,,
469,HD 176986,c,HD 176986 c,16.8191,0.11878,0.266,0.02888,285.7739138,-11.044941,,0.111,0.0044,8.42,6.34,6.797,6.22,4931.0,0.78,0.79,,,,
487,K2-141,b,K2-141 b,0.2803244,0.00716,0.135,0.01598,350.91704639999995,-1.1891827,86.3,0.0,1.5e-06,11.454,8.524,9.086,8.401,4599.0,0.68,0.71,2039.0,,0.94,2457744.0716
488,K2-141,c,K2-141 c,7.7485,,0.624,0.023280000000000002,350.91704639999995,-1.1891827,87.2,0.0,0.00022,11.454,8.524,9.086,8.401,4599.0,0.68,0.71,,,,2457751.1546
507,HD 215152,d,HD 215152 d,10.86499,0.08799,0.132,0.00881,340.83809410000003,-6.4020684999999995,,0.0,0.00564,8.11,5.895,6.353,5.775,4935.0,0.73,0.77,,,,
508,HD 215152,e,HD 215152 e,25.1967,0.15417,0.134,0.00905,340.83809410000003,-6.4020684999999995,,0.0,0.0476,8.11,5.895,6.353,5.775,4935.0,0.73,0.77,,,,
523,K2-233,b,K2-233 b,2.46746,0.03317,0.125,0.00798,230.4799011,-20.2317975,88.79,0.0,0.00014,10.883,8.501,8.968,8.375,4950.0,0.74,0.8,1040.0,,1.969,2457991.691
524,K2-233,c,K2-233 c,7.06142,0.06687,0.11900000000000001,0.007379999999999999,230.4799011,-20.2317975,88.95,0.0,0.00084,10.883,8.501,8.968,8.375,4950.0,0.74,0.8,728.0,,2.65,2457996.3522
525,K2-233,d,K2-233 d,24.3662,0.1527,0.23600000000000002,0.0235,230.4799011,-20.2317975,89.35,0.0,0.0021,10.883,8.501,8.968,8.375,4950.0,0.74,0.8,482.0,,3.808,2458005.5801
551,GJ 1132,c,GJ 1132 c,8.929,0.0476,0.128,0.00831,153.7090696,-47.1549358,,0.27,0.01,13.68,8.666,9.245,8.322,3270.0,0.21,0.18,300.0,,,
576,HD 26965,b,HD 26965 b,42.378,,0.254,0.02665,63.808266599999996,-7.6676027,,0.04,0.01,4.42018,2.594,3.013,2.498,5072.0,0.87,0.78,,,,
579,K2-261,b,K2-261 b,11.63344,0.102,0.85,0.223,163.0323119,0.493167,88.4,0.39,0.00012,10.612,8.92,9.337,8.89,5537.0,1.65,1.1,1080.0,0.2801,5.112,2457906.84084
581,Wolf 503,b,Wolf 503 b,6.00118,0.0571,0.18100000000000002,0.015,206.8461979,-6.139336900000001,,,8e-05,10.27,7.774,8.324,7.617,4716.0,0.69,0.69,805.0,,1.321,2458185.36087
595,K2-266,b,K2-266 b,0.658524,0.013059999999999999,0.294,0.03545,157.9356855,0.9372782,75.32,,1.7e-05,11.625,9.041,9.611,8.897,4285.0,0.7,0.69,1515.0,0.18,0.33336,2457949.6747
596,K2-266,c,K2-266 c,7.814,0.0679,0.063,0.00091,157.9356855,0.9372782,88.28,0.042,0.0019,11.625,9.041,9.611,8.897,4285.0,0.7,0.69,664.5,0.0085,2.256,2457946.651
597,K2-266,d,K2-266 d,14.697,0.1035,0.261,0.028,157.9356855,0.9372782,89.46,0.047,0.00034,11.625,9.041,9.611,8.897,4285.0,0.7,0.69,538.3,0.1465,3.408,2457944.8393
598,K2-266,e,K2-266 e,19.482,0.1249,0.244,0.044989999999999995,157.9356855,0.9372782,89.45,0.043,0.0012,11.625,9.041,9.611,8.897,4285.0,0.7,0.69,490.1,0.127,3.6648,2457938.541
601,WASP-145 A,b,WASP-145 A b,1.7690381,0.0261,0.9,0.89,322.25376439999997,-58.8361466,83.3,0.0,8e-07,11.636,9.292,9.843,9.194,4900.0,0.68,0.76,1200.0,1.16,0.9768,2456844.1652599997
636,GJ 1265,b,GJ 1265 b,3.6511,0.026,0.23399999999999999,0.023280000000000002,333.4324675,-17.6870623,,0.04,0.0012,14.01,8.422,8.955,8.115,3236.0,0.19,0.18,,,,
637,LHS 1140,c,LHS 1140 c,3.777931,0.02675,0.114,0.00569,11.248632,-15.274108499999999,89.92,0.31,3e-06,14.15,9.092,9.612001,8.821,3216.0,0.21,0.18,438.0,,,2458226.843169
654,K2-287,b,K2-287 b,14.893291,0.1206,0.847,0.315,233.0743401,-22.3583447,88.13,0.478,2.5e-05,11.41,9.283,9.677,9.188,5695.0,1.07,1.06,804.0,,,2458001.72138
675,K2-292,b,K2-292 b,16.9841,0.13,0.235,0.07708999999999999,205.3758786,-9.9460704,88.4,0.04,0.0008,9.885,8.452,8.73,8.407,5725.0,1.09,1.0,795.0,,3.66,2458180.2842
676,HD 20781,d,HD 20781 d,29.158,0.1647,0.29,0.0334,50.0139757,-28.784117499999997,,0.11,0.0102,8.48,6.642,7.045,6.553,5256.0,,0.7,,,,
677,HD 20781,e,HD 20781 e,85.5073,0.3374,0.342,0.0442,50.0139757,-28.784117499999997,,0.06,0.0983,8.48,6.642,7.045,6.553,5256.0,,0.7,,,,
678,HD 45184,c,HD 45184 c,13.1354,0.11,0.26,0.0277,96.1820205,-28.7806402,,0.07,0.0026,6.383,4.962,5.219,4.871,5869.0,,1.03,,,,
680,GJ 143,b,GJ 143 b,35.61253,0.1915,0.233,0.07142000000000001,51.750188200000004,-63.500166,89.33,0.188,0.0006,8.08,5.524,6.081,5.375,4640.0,0.7,0.73,422.0,0.160996,3.23,2458385.92502
682,HD 23472,b,HD 23472 b,17.667,0.121,0.16699999999999998,0.05637999999999999,55.4590314,-62.7672667,,0.0,0.142,9.73,7.347,7.865,7.207,4813.0,0.73,0.75,,0.0663,2.695974,2458325.325928
683,HD 23472,c,HD 23472 c,29.625,0.17,0.192,0.05405,55.4590314,-62.7672667,,0.0,0.224,9.73,7.347,7.865,7.207,4813.0,0.73,0.75,475.476044,0.0627,2.9458849999999996,2458340.303955
685,HD 219666,b,HD 219666 b,6.03607,0.06356,0.42,0.05223,349.5592665,-56.90398570000001,86.38,0.0,0.00064,9.809,8.254,8.557,8.158,5527.0,1.03,0.92,1073.0,0.170403,2.158,2458329.1996
686,HD 1397,b,HD 1397 b,11.53533,0.1097,1.026,0.415,4.447163099999999,-66.3589285,88.99,0.251,0.00079,7.79,6.09,6.442,5.988,5521.0,2.34,1.32,1228.3,0.2037,8.6016,2458332.08261
706,HD 221416,b,HD 221416 b,14.2767,0.1228,0.836,0.19,353.0331863,-21.8012007,85.75,0.115,0.0037,8.15,6.149,6.568,6.043,5080.0,2.94,1.21,,0.08317999999999999,9.207214,2458357.0149
711,GJ 143,c,HD 21749 c,7.78993,0.0695,0.08,0.011640000000000001,51.750188200000004,-63.500166,88.9,,0.00051,8.08,5.524,6.081,5.375,4640.0,0.7,0.73,701.0,0.021324,2.515,2458371.2287
720,HD 210193,b,HD 210193 b,649.918,1.487,1.27,0.4817,332.39513239999997,-41.225204999999995,,0.24,8.599,7.83,6.39,6.674,6.31,5790.0,,1.04,,,,
721,HD 211970,b,HD 211970 b,25.201,0.143,0.327,0.0409,335.5661579,-54.5596006,,0.15,0.025,10.24,5.842,6.462,5.663,4127.0,,0.61,,,,
722,HD 39855,b,HD 39855 b,3.2498,0.041,0.254,0.026739999999999996,88.62607309999999,-19.704447199999997,,0.14,0.0004,7.51,5.836,6.207,5.756,5576.0,,0.87,,,,
723,HIP 35173,b,HIP 35173 b,41.516,0.217,0.322,0.03996,109.04493290000002,-3.6661273000000003,,0.16,0.077,9.01,6.803,7.263,6.674,4881.0,,0.79,,,,
725,HD 102843,b,HD 102843 b,3090.942,4.074,1.17,0.35836999999999997,177.5854673,-1.2522989,,0.11,295.049,9.26,7.535,7.896,7.495,5436.0,,0.95,,,,
726,HD 103949,b,HD 103949 b,120.878,0.439,0.299,0.03524,179.5479558,-23.9241221,,0.19,0.446,8.7,6.411,6.903,6.314,4792.0,,0.77,,,,
727,HD 206255,b,HD 206255 b,96.045,0.461,0.5770000000000001,0.1076,325.5917768,-50.093588399999994,,0.23,0.317,7.62,6.07,6.379,5.979,5635.0,,1.42,,,,
728,HD 21411,b,HD 21411 b,84.288,0.362,0.85,0.20734,51.5474155,-30.6168403,,0.4,0.127,7.88,6.238,6.573,6.131,5605.0,,0.89,,,,
729,HD 64114,b,HD 64114 b,45.791,0.246,0.39299999999999996,0.056,117.982556,-11.033722099999999,,0.12,0.07,7.71,6.125,6.478,6.046,5676.0,,0.95,,,,
730,HD 8326,b,HD 8326 b,158.991,0.533,0.855,0.20955,20.5314418,-26.894067800000002,,0.2,1.44,8.76,6.587,7.052,6.504,4914.0,,0.8,,,,
731,HIP 54373,b,HIP 54373 b,7.76,0.063,0.256,0.02712,166.86435319999998,-19.2916857,,0.2,0.003,10.38,6.853,7.449,6.62,4021.0,,0.57,,,,
732,HIP 54373,c,HIP 54373 c,15.144,0.099,0.318,0.03914,166.86435319999998,-19.2916857,,0.2,0.008,10.38,6.853,7.449,6.62,4021.0,,0.57,,,,
734,HIP 71135,b,HIP 71135 b,87.19,0.335,0.406,0.05915,218.21580730000002,-52.646475699999996,,0.21,0.381,10.53,7.397,8.039,7.242,4146.0,,0.66,,,,
735,HD 15337,b,HD 15337 b,4.75615,0.0522,0.146,0.02363,36.867884600000004,-27.636117100000003,88.5,0.09,0.00017,9.1,7.215,7.553,7.044,5125.0,0.86,0.9,1001.0,0.0344,2.49,2458411.4615599997
736,HD 15337,c,HD 15337 c,17.1784,0.1268,0.213,0.025519999999999998,36.867884600000004,-27.636117100000003,88.5,0.05,0.0016,9.1,7.215,7.553,7.044,5125.0,0.86,0.9,642.0,0.0758,2.25,2458414.5501
758,L 98-59,b,L 98-59 b,2.2531,0.02282,0.071,0.00318,124.5328604,-68.3144658,88.7,0.12,0.0004,11.685,7.359,7.933,7.101,3412.0,0.31,0.31,610.0,0.06773799999999999,1.02,2458366.1708
759,L 98-59,c,L 98-59 c,3.6904,0.0317,0.12,0.00761,124.5328604,-68.3144658,89.3,0.07,0.0003,11.685,7.359,7.933,7.101,3412.0,0.31,0.31,517.0,0.17973699999999998,1.252186,2458367.2752
760,L 98-59,d,L 98-59 d,7.4512,0.0506,0.14,0.00727,124.5328604,-68.3144658,88.5,0.09,0.0007,11.685,7.359,7.933,7.101,3412.0,0.31,0.31,409.0,0.16677999999999998,0.845834,2458362.7376
769,HD 180617,b,HD 180617 b,105.9,0.3357,0.315,0.03839,289.2277322,5.1631615,,0.16,0.09,9.12,4.929,5.583,4.673,3557.0,0.45,0.45,,,,
770,LSPM J2116+0234,b,LSPM J2116+0234 b,14.4399,0.0876,0.331,0.04185,319.1147513,2.5807710999999998,,0.183,0.0078,11.961,7.601,8.219,7.324,3475.0,0.43,0.43,,,,2457573.6
794,TOI-270,b,TOI-270 b,3.36008,0.0306,0.111,0.00657,68.4160804,-51.957393700000004,88.65,0.0,6.5e-05,12.603,8.531,9.099,8.251,3386.0,0.38,0.4,528.0,0.0901,1.387,2458461.01464
